% Model,electrode_in_salt.mph,,,
% Version,COMSOL 6.4.0.293,,,
% Date,"Dec 15 2025, 18:33",,,
% Dimension,2,,,
% Nodes,505,,,
% Expressions,3,,,
% Description,"Electrolyte current density vector, r-component, Electrolyte current density vector, phi-component, Electrolyte current density vector, z-component",,,
% Length unit,m,,,
% r,z,tcd.Ilr (A/m^2),tcd.Ilphi (A/m^2),tcd.Ilz (A/m^2)
4.90E-18,0.02,NaN,NaN,NaN
0.001075689,0.018882152,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.001666667,0.02,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.005,0.011666667,NaN,NaN,NaN
0.005,0.013333333,NaN,NaN,NaN
0.005,0.013333333,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.005,0.013333333,NaN,NaN,NaN
0.005,0.015,NaN,NaN,NaN
0.005,0.015,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.005,0.015,NaN,NaN,NaN
0.005,0.016666667,NaN,NaN,NaN
0.005,0.016666667,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.003922286,0.01888259,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.003333333,0.02,NaN,NaN,NaN
0.001666667,0.02,NaN,NaN,NaN
0.003922286,0.01888259,NaN,NaN,NaN
0.003333333,0.02,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.005,0.016666667,NaN,NaN,NaN
0.005,0.018333333,NaN,NaN,NaN
0.003922286,0.01888259,NaN,NaN,NaN
0.003777649,0.01750752,NaN,NaN,NaN
0.005,0.018333333,NaN,NaN,NaN
0.003922286,0.01888259,NaN,NaN,NaN
0.005,0.018333333,NaN,NaN,NaN
0.005,0.02,NaN,NaN,NaN
0.003922286,0.01888259,NaN,NaN,NaN
0.005,0.02,NaN,NaN,NaN
0.003333333,0.02,NaN,NaN,NaN
0.006081432,0.001128116,4.62E-11,0,-2.58E-11
0.005,0.001666667,-1.57E-11,0,1.39E-10
0.005,-1.22E-18,4.41E-11,0,2.15E-10
0.006666667,-1.63E-18,-3.84E-11,0,1.69E-11
0.006240339,0.002504357,-1.95E-10,0,1.72E-10
0.005,0.003333333,1.67E-10,0,-1.53E-10
0.008333333,-2.04E-18,-8.08E-11,0,-1.54E-10
0.007500154,0.001469558,2.98E-11,0,3.87E-11
0.006299371,0.004137356,-1.42E-10,0,-2.04E-10
0.005,0.005,1.49E-11,0,-1.55E-10
0.009247126,0.001329351,1.48E-10,0,3.21E-12
0.01,-2.45E-18,-3.44E-10,0,1.00E-10
0.007585177,0.003278444,-2.80E-11,0,-2.30E-10
0.008734781,0.002550589,-2.60E-10,0,-1.04E-10
0.006333417,0.005798302,1.75E-10,0,1.02E-10
0.005,0.006666667,-2.46E-10,0,2.32E-11
0.006335456,0.007478169,2.32E-11,0,1.28E-10
0.005,0.008333333,-2.36E-10,0,4.50E-11
0.010873623,0.001347901,-2.45E-11,0,1.86E-10
0.011666667,-2.86E-18,3.36E-11,0,-1.04E-10
0.006335782,0.009155173,-4.68E-11,0,-2.15E-10
0.005,0.01,1.70E-10,0,-2.04E-10
0.007672706,0.00493889,-1.72E-10,0,7.57E-11
0.010109494,0.002682104,-9.79E-11,0,-1.81E-10
0.009170872,0.004070665,1.44E-11,0,3.86E-11
0.007673071,0.006614564,6.23E-11,0,9.99E-11
0.007670466,0.008300973,2.37E-10,0,1.80E-10
0.011704839,0.002727953,3.52E-11,0,2.20E-10
0.012512663,0.001357892,-2.10E-12,0,-5.79E-11
0.013333333,-3.27E-18,-1.96E-10,0,-1.28E-10
0.01416604,0.001352508,-3.29E-11,0,1.23E-10
0.015,-3.67E-18,2.06E-10,0,2.23E-11
0.006354156,0.010836119,2.03E-11,0,-2.29E-10
0.005,0.011666667,-3.75E-11,0,-2.39E-10
0.00635545,0.012520773,2.63E-10,0,-3.44E-13
0.005,0.013333333,2.12E-10,0,2.64E-10
0.007694859,0.009995373,5.40E-11,0,7.82E-11
0.008981275,0.00577102,4.90E-12,0,-5.39E-11
0.010913139,0.004112139,1.84E-10,0,-9.12E-11
0.01021359,0.005270885,-1.22E-10,0,1.03E-10
0.009010287,0.007427977,-3.49E-10,0,1.09E-10
0.009021593,0.009117594,1.99E-11,0,-1.43E-10
0.012488635,0.004149219,2.03E-11,0,-1.73E-10
0.013331477,0.00271899,-6.10E-11,0,3.04E-11
0.015829813,0.00134167,-4.22E-11,0,-6.24E-11
0.016666667,-4.08E-18,1.18E-10,0,-1.76E-11
0.014988472,0.002696054,-1.03E-10,0,1.81E-11
0.017498098,0.001330821,6.65E-11,0,-1.11E-10
0.018333333,-4.49E-18,-2.45E-10,0,8.51E-11
0.006367063,0.014168614,-1.21E-10,0,-3.81E-12
0.005,0.015,-1.60E-11,0,-4.18E-11
0.006322457,0.015708041,-1.83E-10,0,4.76E-11
0.005,0.016666667,-5.49E-11,0,1.19E-10
0.007738843,0.011678727,1.66E-10,0,3.71E-11
0.007881822,0.013465333,-1.18E-11,0,-9.79E-11
0.009033986,0.010799112,-1.13E-10,0,6.37E-11
0.010302009,0.006668353,6.36E-11,0,-1.67E-10
0.01162919,0.005669103,1.97E-10,0,1.48E-10
0.01034734,0.008271927,3.99E-11,0,1.44E-10
0.010361168,0.00996279,-3.93E-11,0,-1.99E-10
0.01335288,0.005425535,1.20E-10,0,-2.12E-10
0.014131985,0.004061102,8.03E-11,0,2.79E-11
0.0166596,0.002670638,-7.50E-11,0,4.35E-11
0.015811648,0.004033679,-1.04E-12,0,-3.73E-11
0.019165488,0.00131772,1.18E-10,0,9.82E-11
0.02,-4.90E-18,-5.41E-12,0,4.71E-11
0.018329202,0.002652068,6.58E-11,0,-4.87E-11
0.020827081,0.001281174,1.61E-10,0,-1.06E-10
0.021666667,-5.31E-18,-6.78E-11,0,-2.02E-10
0.006495464,0.017494239,9.81E-11,0,6.59E-11
0.005,0.018333333,2.40E-11,0,5.05E-11
0.006143248,0.01892337,6.23E-11,0,-4.49E-11
0.005,0.02,-7.78E-11,0,2.05E-11
0.007639583,0.014985581,-2.88E-11,0,1.78E-10
0.007595349,0.016196653,1.11E-10,0,3.60E-10
0.009106135,0.012437794,8.37E-11,0,-1.42E-10
0.008720768,0.014527497,-7.04E-11,0,1.33E-10
0.009184378,0.013677403,4.89E-11,0,-1.15E-12
0.010499615,0.011707307,-8.98E-11,0,-1.60E-10
0.011671828,0.007420298,-2.86E-11,0,2.44E-10
0.012835938,0.006692094,1.24E-10,0,1.47E-11
0.011712111,0.009039373,-8.99E-11,0,-7.63E-11
0.011764554,0.010558703,6.17E-11,0,-1.00E-10
0.014252445,0.006784874,2.13E-11,0,7.44E-11
0.015010368,0.005407193,-1.35E-10,0,3.52E-10
0.016673003,0.005361258,-5.61E-11,0,-4.47E-11
0.017481493,0.003997711,1.67E-10,0,-5.70E-11
0.020005308,0.002642282,-2.67E-11,0,-1.69E-10
0.019165223,0.003953238,-1.81E-10,0,3.17E-10
0.021652559,0.00250118,2.42E-11,0,9.53E-11
0.022472465,0.001225863,4.43E-11,0,1.81E-10
0.023333333,-5.72E-18,9.16E-11,0,6.48E-11
0.023868012,0.001080568,1.69E-10,0,-2.92E-10
0.025,-6.12E-18,6.11E-11,0,3.86E-10
0.008270984,0.017378502,-5.34E-11,0,-1.34E-10
0.007554107,0.018789277,-4.78E-11,0,-1.55E-10
0.006666667,0.02,7.92E-11,0,3.79E-10
0.008940438,0.01584129,1.92E-10,0,-4.45E-11
0.010271887,0.013291305,-4.95E-11,0,-8.95E-11
0.00992943,0.014653942,1.33E-10,0,-7.01E-11
0.011441779,0.012928186,-1.36E-10,0,2.34E-10
0.012138656,0.011877007,9.37E-11,0,-3.24E-11
0.012891362,0.011051753,3.90E-10,0,-1.19E-10
0.013204377,0.008180937,2.92E-10,0,-1.06E-10
0.013015538,0.009872513,1.84E-11,0,-9.30E-11
0.015102163,0.008060043,-3.54E-11,0,8.29E-11
0.015904181,0.006750636,3.15E-11,0,-1.49E-10
0.017588531,0.006665887,-8.42E-11,0,1.45E-10
0.01825201,0.005315834,-1.82E-10,0,-3.13E-10
0.019690821,0.005208199,1.29E-10,0,-2.72E-10
0.020869726,0.004149271,1.37E-11,0,-6.53E-11
0.022407141,0.003733985,-4.63E-11,0,2.95E-11
0.023527843,0.00251249,3.18E-11,0,-8.22E-11
0.025,0.001666667,2.25E-10,0,-1.23E-10
0.009901222,0.017275216,-3.77E-11,0,2.74E-12
0.009139326,0.01867434,5.11E-11,0,1.85E-10
0.008333333,0.02,-4.93E-11,0,8.41E-11
0.010695222,0.015872903,-8.06E-11,0,-1.28E-10
0.011469986,0.014343201,9.07E-11,0,8.07E-11
0.012642616,0.01328337,-6.91E-11,0,1.29E-11
0.013452255,0.012039262,-8.80E-11,0,-2.96E-10
0.014045457,0.010818487,-1.41E-10,0,2.80E-10
0.01443168,0.009464144,2.41E-10,0,9.67E-12
0.01571537,0.009284491,-4.80E-12,0,-1.06E-11
0.016797224,0.008225548,-8.54E-11,0,1.62E-10
0.018325178,0.007842478,2.01E-10,0,-8.15E-11
0.019328391,0.006683122,-1.39E-10,0,2.27E-10
0.020882475,0.00590324,-1.64E-10,0,-1.69E-10
0.022284556,0.005102772,1.67E-10,0,1.75E-10
0.02364488,0.004255095,9.74E-11,0,1.77E-10
0.025,0.003333333,1.52E-10,0,-2.46E-11
0.01157326,0.017252572,-7.31E-11,0,-2.46E-11
0.010788103,0.018631691,-4.45E-11,0,-7.38E-11
0.01,0.02,-4.27E-11,0,-8.91E-11
0.012346742,0.015857878,4.30E-11,0,-5.82E-11
0.013135697,0.014533856,1.05E-10,0,3.58E-10
0.014129331,0.013271306,2.34E-11,0,4.11E-10
0.014981206,0.01193284,-1.02E-10,0,-8.64E-11
0.0155007,0.010550409,-1.03E-10,0,-6.10E-11
0.016887669,0.009872606,-8.10E-11,0,3.23E-11
0.018213887,0.0092094,-8.63E-11,0,-2.92E-12
0.019565037,0.008353246,5.99E-11,0,-1.41E-11
0.02087034,0.007493571,7.78E-12,0,9.91E-11
0.022264055,0.00670017,3.82E-11,0,-7.29E-11
0.02363816,0.005872563,-1.12E-10,0,-1.15E-11
0.025,0.005,-1.62E-10,0,9.94E-12
0.013249733,0.017255364,-9.00E-11,0,-5.72E-12
0.012457369,0.018628446,9.85E-11,0,-1.57E-10
0.011666667,0.02,-1.33E-11,0,7.93E-11
0.014041896,0.015893789,-1.13E-10,0,-6.91E-11
0.014894337,0.014566025,-1.86E-11,0,7.79E-11
0.015725734,0.013191546,-8.26E-11,0,-2.11E-11
0.01670903,0.011766425,3.08E-11,0,-2.07E-11
0.018241779,0.0108513,6.41E-11,0,-5.49E-11
0.019571807,0.010002052,-1.39E-10,0,-2.20E-10
0.020921673,0.009148552,-5.77E-11,0,2.76E-10
0.022272064,0.008333634,1.49E-10,0,1.22E-10
0.023635469,0.007510673,-2.51E-10,0,-5.37E-11
0.025,0.006666667,-6.23E-11,0,-5.79E-11
0.014946048,0.017268324,-7.75E-11,0,-1.51E-10
0.014133082,0.018631172,-3.52E-11,0,-1.56E-10
0.013333333,0.02,-5.91E-11,0,1.11E-10
0.015763911,0.01590405,4.06E-12,0,-2.18E-10
0.016581508,0.0146044,-1.82E-10,0,-3.69E-11
0.017109882,0.013283348,3.59E-11,0,-2.89E-10
0.018317168,0.012516259,-1.06E-10,0,2.28E-11
0.019613074,0.011652245,-4.31E-11,0,-3.26E-10
0.020943563,0.010819853,-5.47E-11,0,1.30E-10
0.022292189,0.00999003,2.46E-11,0,-7.09E-11
0.023642577,0.009166301,1.69E-10,0,4.85E-11
0.025,0.008333333,-5.56E-11,0,2.26E-10
0.016635177,0.01726299,2.38E-10,0,8.21E-12
0.015811954,0.018635545,5.68E-11,0,-2.95E-10
0.015,0.02,-1.16E-10,0,6.62E-11
0.017482525,0.015827169,-1.08E-11,0,1.52E-10
0.018301758,0.014286804,-6.16E-11,0,-9.85E-11
0.019630686,0.013255155,-2.62E-11,0,-3.93E-11
0.020970141,0.012468828,-1.13E-10,0,-3.23E-10
0.022305062,0.011651831,-2.19E-10,0,-1.38E-10
0.023648858,0.010828032,7.92E-11,0,2.67E-12
0.025,0.01,1.11E-10,0,-1.94E-10
0.018252668,0.017242654,-8.85E-11,0,-1.06E-10
0.017466592,0.01862848,-3.91E-11,0,5.51E-11
0.016666667,0.02,-3.28E-11,0,2.16E-11
0.01902618,0.015853356,-1.94E-10,0,4.23E-12
0.019734406,0.014628159,3.36E-10,0,-4.21E-11
0.021017012,0.014113545,1.03E-10,0,-1.92E-10
0.022320674,0.013312206,1.45E-10,0,6.83E-11
0.023655006,0.012492017,1.44E-11,0,2.87E-11
0.025,0.011666667,2.75E-10,0,2.08E-10
0.019845908,0.017261214,1.18E-10,0,9.95E-11
0.01909975,0.018629689,-6.45E-11,0,-1.24E-11
0.018333333,0.02,-1.03E-10,0,-1.57E-10
0.020795708,0.015837342,-3.20E-11,0,1.47E-10
0.022321243,0.014987026,5.90E-13,0,5.86E-11
0.023655578,0.01415999,1.01E-10,0,-4.31E-11
0.025,0.013333333,-8.47E-11,0,2.08E-10
0.021198887,0.017374843,-1.25E-10,0,-2.83E-10
0.020706029,0.018627542,4.11E-11,0,3.98E-11
0.02,0.02,-6.80E-12,0,-3.72E-10
0.022426319,0.016643254,4.65E-12,0,1.71E-11
0.023690877,0.015820627,8.03E-11,0,-1.26E-10
0.025,0.015,-3.36E-10,0,1.01E-10
0.022430695,0.018486608,5.89E-11,0,1.39E-11
0.021666667,0.02,-9.26E-12,0,1.22E-10
0.023742122,0.017466827,-9.00E-11,0,-7.24E-11
0.025,0.016666667,3.33E-12,0,5.75E-11
0.023904842,0.018850472,1.57E-10,0,3.39E-10
0.023333333,0.02,1.80E-10,0,-9.60E-11
0.025,0.018333333,-9.55E-11,0,1.72E-10
0.025,0.02,2.38E-10,0,1.77E-10
